"Number","Name","Electrical Type","Graphic Style","Orientation","Number Text Size","Name Text Size","Length","X Position","Y Position","Visible","Unit","Body Style"
"1","1","Passive","Line","Right","50","50","150","-300","-1200","True","ALL","ALL"
"2","2","Passive","Line","Right","50","50","150","-300","-1000","True","ALL","ALL"
"3","3","Passive","Line","Right","50","50","150","-300","-800","True","ALL","ALL"
"4","4","Passive","Line","Right","50","50","150","-300","-600","True","ALL","ALL"
"5","5","Passive","Line","Right","50","50","150","-300","-400","True","ALL","ALL"
"6","6","Passive","Line","Right","50","50","150","-300","-200","True","ALL","ALL"
"7","7","Passive","Line","Right","50","50","150","-300","0","True","ALL","ALL"
"8","8","Passive","Line","Right","50","50","150","-300","200","True","ALL","ALL"
"9","9","Passive","Line","Right","50","50","150","-300","400","True","ALL","ALL"
"10","10","Passive","Line","Right","50","50","150","-300","600","True","ALL","ALL"
"11","11","Passive","Line","Right","50","50","150","-300","800","True","ALL","ALL"
"12","12","Passive","Line","Right","50","50","150","-300","1000","True","ALL","ALL"
"14","P14","Passive","Line","Right","50","50","150","-300","-1100","True","ALL","ALL"
"15","P15","Passive","Line","Right","50","50","150","-300","-900","True","ALL","ALL"
"16","P16","Passive","Line","Right","50","50","150","-300","-700","True","ALL","ALL"
"17","P17","Passive","Line","Right","50","50","150","-300","-500","True","ALL","ALL"
"18","P18","Passive","Line","Right","50","50","150","-300","-300","True","ALL","ALL"
"19","P19","Passive","Line","Right","50","50","150","-300","-100","True","ALL","ALL"
"20","P20","Passive","Line","Right","50","50","150","-300","100","True","ALL","ALL"
"21","P21","Passive","Line","Right","50","50","150","-300","300","True","ALL","ALL"
"22","P22","Passive","Line","Right","50","50","150","-300","500","True","ALL","ALL"
"23","P23","Passive","Line","Right","50","50","150","-300","700","True","ALL","ALL"
"24","P24","Passive","Line","Right","50","50","150","-300","900","True","ALL","ALL"
